weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97228
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,97268
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97279
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97280
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,97289
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,97298
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97300
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97308
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97309
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97310
OTHER (SPECIFY),,,,,,,True,,,,,True,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97329
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97335
OTHER (SPECIFY),,,,,,,True,,,,,True,,,,,97338
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97339
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,97348
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97355
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97358
SEMI-AUTO PISTOL,"F.I. INDUSTRIES(FORMERLY) --US-- (BERETTA USA CORP,BRONCO)",,PX4 STORM,4, 9 MM,12.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,DEPARTMENT VEHICLE,OVER 15FT,BOTH,STANDING,97371
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97372
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97378
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97390
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97402
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4 INCH, 9 MM,1.0,True,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,False,NONE,05-10FT,PERSON,STANDING,97444
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97455
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97512
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,97517
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97517
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97521
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97568
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97582
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97590
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97603
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97632
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97634
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97640
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97647
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97660
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97665
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97667
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97669
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97673
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97682
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4,45 CAL,2.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,True,NONE,05-10FT,PERSON,OTHER (SPECIFY),97693
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97698
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97716
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97735
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97744
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97756
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97773
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97797
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97820
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97830
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97831
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97843
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97867
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,97873
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97874
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97891
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97909
OTHER (SPECIFY),,,,,,0.0,True,0.0,RIGHT SIDE (WAIST),OTHER (SPECIFY),NONE,False,NONE,0-5FT,NONE,STANDING,97918
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97929
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97967
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97976
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97979
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97988
