id,unit_name,description,tags,active,created_at,updated_at,cnt,rank
46,063,Area 3 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
254,064,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
47,065,Area 5 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
48,066,Area 6 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
49,071,Youth Division Area1,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
50,072,Youth Division Area2,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
51,073,Youth Division Area3,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
52,074,Youth Division Area4,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
53,075,Youth Division Area5,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
54,076,Youth Division Area6,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
55,079,Special Investigations Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
56,081,Oec-Director Office,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
57,082,Oec-Facility Serv,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
58,083,Oec-Cad Operations,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
59,084,Oec-Electronic Oper,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
60,085,Oec-Int Sercure Net,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
61,086,Oec-Police Dispatch,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
62,087,Oec-Fire Dispatch,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
63,088,Alternate Response,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
64,091,Narc Special Enforce,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
65,092,Narc General Enforce,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
255,093,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
256,095,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
66,100,Public Building Comm,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
67,101,Police Board,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
68,102,Office Of News Affairs,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
69,111,Office Of The Superintendent,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
70,112,Bureau Of Professional Standards,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
71,113,Independent Police Review Authority (Ipra),"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
72,114,Legal Affairs Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
74,115,Crime Control Strategies Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
75,116,Deployment Operations Center,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
76,117,Office Of Assistant Supt. Administration,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
77,118,Chaplains Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
78,119,Office Of International Relations,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
79,120,Bureau Of Support Services,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
80,121,Bureau Of Internal Affairs,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
81,122,Finance Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
82,123,Human Resources Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
83,124,Education And Training Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
84,125,Information Services Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
85,126,Inspection Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
86,127,Research And Development Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
87,128,Professional Counseling Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
88,129,Management And Labor Affairs Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
90,130,Technology And Records Group,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,3,1
92,131,Domestic Violence Office,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
93,132,Preven & Neigh Div,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
94,133,Information And Strategic Services,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
95,134,Field Technology Training Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
96,135,Chicago Alternative Policing Strategy (Caps) Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,2
99,136,Special Events Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
100,137,Office Of Compliance,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
102,138,Field Monitoring Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
103,139,Asst Superintendent-Law Enforcement Operations,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
105,140,Office Of The First Deputy Superintendent,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
106,141,Special Functions Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
107,142,Bureau Of Patrol,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
109,143,District Law,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
110,144,Court Section,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
112,145,Traffic Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
113,146,Canine Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
114,147,Senior Citizen Services,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
115,148,Traffic Court Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
116,149,Midway Airport Security,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
265,150,,"",,2021-01-06 01:46:53.994433 +00:00,2021-01-06 01:46:53.994433 +00:00,1,1
117,151,Traffic Enforcement,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
118,152,Loop Traffic Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
119,153,Special Functions Support Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
121,154,Traffic Safety And Training,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
122,156,Gang Crime Section,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
123,157,Pub Housing Div Adm,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
124,159,Gun Registration,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
125,160,Facilities Management,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
126,161,General Support Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
127,162,Records Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
